first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost
Antoine,Semenyo,Bournemouth,Midfielder,29,3,1,517,57
Marcos,Senesi,Bournemouth,Defender,5,0,0,346,48
Luis,Sinisterra,Bournemouth,Midfielder,17,1,1,149,50
Adam,Smith,Bournemouth,Defender,12,0,0,264,45
Marcus,Tavernier,Bournemouth,Midfielder,22,1,1,511,55
Mark,Travers,Bournemouth,Goalkeeper,2,0,0,90,44
Illia,Zabarnyi,Bournemouth,Defender,10,0,0,540,45
Kepa,Arrizabalaga,Bournemouth,Goalkeeper,9,0,0,270,45
Dean,Huijsen,Bournemouth,Defender,3,0,0,193,44
Julián,Araujo Zúñiga,Bournemouth,Defender,6,0,0,272,45
